127.0.0.1 - - [31/May/2017:13:08:29 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/May/2017:13:08:30 +0200] "GET /WholesalerWebDemo/ HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [31/May/2017:13:08:40 +0200] "GET /WholesalerWebDemo/controllerservlet;jsessionid=3A8F05B881BC57B5459CF4D56C06B1C2?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:08:40 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/May/2017:13:08:43 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2661
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:13 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:13 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:13 +0200] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:13 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:13 +0200] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:13 +0200] "GET /WholesalerWebDemo/images/buttons/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:13 +0200] "GET /WholesalerWebDemo/images/buttons/import.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:13 +0200] "GET /WholesalerWebDemo/images/buttons/export.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:32 +0200] "GET /WholesalerWebDemo/controllerservlet?action=export&view=XHTML HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:42 +0200] "GET /WholesalerWebDemo/controllerservlet?action=export&view=BMECAT HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [31/May/2017:13:21:45 +0200] "POST /WholesalerWebDemo/controllerservlet?action=export HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [31/May/2017:13:23:25 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2718
0:0:0:0:0:0:0:1 - - [31/May/2017:13:23:25 +0200] "GET /WholesalerWebDemo/images/buttons/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:23:25 +0200] "GET /WholesalerWebDemo/images/buttons/export.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:23:25 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:23:25 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:23:25 +0200] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:23:25 +0200] "GET /WholesalerWebDemo/images/buttons/import.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:23:25 +0200] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:24:59 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [31/May/2017:13:24:59 +0200] "GET /WholesalerWebDemo/images/buttons/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:24:59 +0200] "GET /WholesalerWebDemo/images/buttons/export.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:24:59 +0200] "GET /WholesalerWebDemo/images/buttons/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:24:59 +0200] "GET /WholesalerWebDemo/images/logo_de.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:24:59 +0200] "GET /WholesalerWebDemo/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:24:59 +0200] "GET /WholesalerWebDemo/images/buttons/catalog.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:24:59 +0200] "GET /WholesalerWebDemo/images/buttons/import.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:25:35 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [31/May/2017:13:25:37 +0200] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:25:37 +0200] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 9081
0:0:0:0:0:0:0:1 - - [31/May/2017:13:25:42 +0200] "GET /WholesalerWebDemo/controllerservlet?action=showOrderList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2017:13:25:42 +0200] "GET /WholesalerWebDemo/orders.jsp HTTP/1.1" 200 5756
0:0:0:0:0:0:0:1 - - [31/May/2017:13:25:46 +0200] "GET /WholesalerWebDemo/import.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [31/May/2017:13:25:49 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2730
