127.0.0.1 - - [07/Jun/2017:18:52:58 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:52:59 +0200] "GET /WholesalerWebDemo/ HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:53:04 +0200] "GET /WholesalerWebDemo/controllerservlet;jsessionid=50F640E63FA6AD9A3155945485751114?action=login&role=1&username=internal1&password=internal1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:53:04 +0200] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:53:06 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2918
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:53:11 +0200] "POST /WholesalerWebDemo/controllerservlet?action=export HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:53:11 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 3010
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:53:48 +0200] "GET /WholesalerWebDemo/controllerservlet?action=export&view=XHTML HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:53:48 +0200] "GET /WholesalerWebDemo/catalog_export100000000.XHTML HTTP/1.1" 200 911855
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:53:48 +0200] "GET /Users/mertcipan/EBUT/WholesalerWebDemo/WebContent/default.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:54:50 +0200] "GET /WholesalerWebDemo/catalog_export100000000.XHTML HTTP/1.1" 200 911855
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:54:50 +0200] "GET /Users/mertcipan/EBUT/WholesalerWebDemo/WebContent/default.css HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Jun/2017:18:54:53 +0200] "GET /WholesalerWebDemo/export.jsp HTTP/1.1" 200 2918
